VendorNumber,VendorName,Brand,PurchasePrice,ActualPrice,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesToPurchaseRatio
1128,BROWN-FORMAN CORP,1233,26.27,36.99,580320,15245006.4,268402,9654635.98,1280277.3,493158.6,68601.68,-5590370.42,-57.90348213625761,0.4625068927488282,0.6332982569295609
4425,MARTIGNETTI COMPANIES,3405,23.19,28.990000000000002,656152,15216164.88,299729,9036169.63,1069451.22,550723.13,144929.24,-6179995.25,-68.39175782493582,0.456798119947817,0.5938532936033748
17035,PERNOD RICARD USA,8068,18.239999999999995,24.989999999999995,749628,13673214.72,354511,8611867.39,878119.1,651384.3,123780.22,-5061347.33,-58.77177504936011,0.4729158996195446,0.6298348681238292
3960,DIAGEO NORTH AMERICA INC,4261,16.17,22.99,806728,13044791.76,365407,8208542.93,799610.3099999999,671408.52,257032.07,-4836248.83,-58.91726304219986,0.45294944516615265,0.629258257320008
3960,DIAGEO NORTH AMERICA INC,3545,21.89,29.99,552436,12092824.04,254239,7923279.61,1036434.94,467136.7,257032.07,-4169544.429999999,-52.62397183027091,0.4602143958757213,0.6552050690386132
480,BACARDI USA INC,3858,17.77,23.99,555236,9866543.72,266924,6367633.76,847706.5299999999,210173.49,89286.27,-3498909.960000001,-54.948354316156546,0.4807397214877998,0.6453763283988164
17035,PERNOD RICARD USA,2589,30.760000000000005,39.99,283132,8709140.32,124571,4988928.29,1164931.56,228884.66,123780.22,-3720212.0300000003,-74.56936267167713,0.4399749939957334,0.5728382029329848
3960,DIAGEO NORTH AMERICA INC,3102,12.94,17.99,645544,8353339.36,274710,4813360.9,555151.25,504752.36,257032.07,-3539978.46,-73.5448376621832,0.4255480648879085,0.576219963365645
3960,DIAGEO NORTH AMERICA INC,3489,20.73,27.99,367340,7614958.2,171574,5018212.26,957639.7899999999,315239.92,257032.07,-2596745.9400000004,-51.74643489472485,0.46707137801491805,0.6589940651282892
12546,JIM BEAM BRANDS COMPANY,1376,16.29,21.99,435464,7093708.56,199083,4555118.17,814281.3899999999,365782.20999999996,123880.97,-2538590.3899999997,-55.73050566984522,0.4571744162548454,0.6421349469705308
17035,PERNOD RICARD USA,2585,16.42,22.99,372820,6121704.4,169680,3974387.1999999997,825652.73,133592.08,123780.22,-2147317.2000000007,-54.02888777419575,0.4551257979722118,0.6492288650853509
